age;p10Be
11131;1.4603
11132;1.4636
11133;1.4675
11134;1.4719
11135;1.4768
11136;1.482
11137;1.4876
11138;1.4933
11139;1.4992
11140;1.505
11141;1.5107
11142;1.5161
11143;1.5211
11144;1.5256
11145;1.5295
11146;1.5328
11147;1.5354
11148;1.5374
11149;1.5387
11150;1.5394
11151;1.5396
11152;1.5394
11153;1.5389
11154;1.5383
11155;1.5376
11156;1.537
11157;1.5366
11158;1.5365
11159;1.5369
11160;1.5377
11161;1.5391
11162;1.5411
11163;1.5436
11164;1.5468
11165;1.5504
11166;1.5546
11167;1.5592
11168;1.5641
11169;1.5693
11170;1.5746
11171;1.58
11172;1.5853
11173;1.5903
11174;1.595
11175;1.5994
11176;1.6031
11177;1.6063
11178;1.6087
11179;1.6103
11180;1.6111
11181;1.611
11182;1.61
11183;1.6081
11184;1.6052
11185;1.6016
11186;1.5971
11187;1.592
11188;1.5862
11189;1.5799
11190;1.5732
11191;1.5662
11192;1.5591
11193;1.552
11194;1.5451
11195;1.5384
11196;1.5321
11197;1.5263
11198;1.5211
11199;1.5166
11200;1.5128
11201;1.5098
11202;1.5075
11203;1.5059
11204;1.5051
11205;1.5049
11206;1.5053
11207;1.5061
11208;1.5074
11209;1.5089
11210;1.5106
11211;1.5124
11212;1.5141
11213;1.5157
11214;1.5171
11215;1.5182
11216;1.519
11217;1.5195
11218;1.5197
11219;1.5196
11220;1.5191
11221;1.5184
11222;1.5175
11223;1.5165
11224;1.5153
11225;1.5142
11226;1.5131
11227;1.5121
11228;1.5113
11229;1.5108
11230;1.5104
11231;1.5104
11232;1.5107
11233;1.5114
11234;1.5124
11235;1.5137
11236;1.5154
11237;1.5175
11238;1.5198
11239;1.5224
11240;1.5253
11241;1.5284
11242;1.5317
11243;1.5351
11244;1.5386
11245;1.5421
11246;1.5456
11247;1.549
11248;1.5521
11249;1.555
11250;1.5576
11251;1.5598
11252;1.5616
11253;1.5628
11254;1.5635
11255;1.5636
11256;1.5631
11257;1.5619
11258;1.5601
11259;1.5577
11260;1.5546
11261;1.551
11262;1.5468
11263;1.5421
11264;1.5369
11265;1.5314
11266;1.5255
11267;1.5194
11268;1.5132
11269;1.5068
11270;1.5004
11271;1.4941
11272;1.4878
11273;1.4817
11274;1.4759
11275;1.4703
11276;1.465
11277;1.46
11278;1.4554
11279;1.4511
11280;1.4472
11281;1.4435
11282;1.4402
11283;1.4371
11284;1.4341
11285;1.4313
11286;1.4284
11287;1.4255
11288;1.4224
11289;1.419
11290;1.4154
11291;1.4113
11292;1.4068
11293;1.4019
11294;1.3965
11295;1.3906
11296;1.3843
11297;1.3776
11298;1.3705
11299;1.3633
11300;1.3559
11301;1.3485
11302;1.3411
11303;1.3339
11304;1.327
11305;1.3205
11306;1.3143
11307;1.3087
11308;1.3035
11309;1.2989
11310;1.2948
11311;1.2911
11312;1.2879
11313;1.2852
11314;1.2827
11315;1.2805
11316;1.2785
11317;1.2767
11318;1.2749
11319;1.2731
11320;1.2713
11321;1.2694
11322;1.2674
11323;1.2653
11324;1.2631
11325;1.2608
11326;1.2584
11327;1.2559
11328;1.2533
11329;1.2507
11330;1.248
11331;1.2452
11332;1.2424
11333;1.2395
11334;1.2365
11335;1.2333
11336;1.2301
11337;1.2266
11338;1.223
11339;1.2191
11340;1.215
11341;1.2107
11342;1.2061
11343;1.2012
11344;1.1961
11345;1.1908
11346;1.1853
11347;1.1797
11348;1.1741
11349;1.1684
11350;1.1629
11351;1.1575
11352;1.1523
11353;1.1475
11354;1.143
11355;1.1389
11356;1.1353
11357;1.1323
11358;1.1298
11359;1.128
11360;1.1267
11361;1.126
11362;1.1259
11363;1.1263
11364;1.1272
11365;1.1286
11366;1.1303
11367;1.1322
11368;1.1343
11369;1.1366
11370;1.1388
11371;1.1409
11372;1.1429
11373;1.1446
11374;1.146
11375;1.147
11376;1.1476
11377;1.1477
11378;1.1474
11379;1.1467
11380;1.1456
11381;1.1441
11382;1.1422
11383;1.1401
11384;1.1378
11385;1.1352
11386;1.1326
11387;1.13
11388;1.1274
11389;1.1249
11390;1.1225
11391;1.1204
11392;1.1184
11393;1.1168
11394;1.1155
11395;1.1145
11396;1.1138
11397;1.1136
11398;1.1136
11399;1.1141
11400;1.1149
11401;1.1161
11402;1.1176
11403;1.1193
11404;1.1213
11405;1.1235
11406;1.1258
11407;1.1282
11408;1.1305
11409;1.1328
11410;1.135
11411;1.137
11412;1.1387
11413;1.14
11414;1.141
11415;1.1416
11416;1.1417
11417;1.1414
11418;1.1407
11419;1.1395
11420;1.1379
11421;1.136
11422;1.1339
11423;1.1315
11424;1.1289
11425;1.1263
11426;1.1236
11427;1.121
11428;1.1185
11429;1.1163
11430;1.1142
11431;1.1124
11432;1.1109
11433;1.1098
11434;1.1089
11435;1.1084
11436;1.1082
11437;1.1083
11438;1.1087
11439;1.1094
11440;1.1103
11441;1.1115
11442;1.1128
11443;1.1144
11444;1.1161
11445;1.1181
11446;1.1202
11447;1.1226
11448;1.1251
11449;1.1277
11450;1.1306
11451;1.1336
11452;1.1367
11453;1.1399
11454;1.1431
11455;1.1464
11456;1.1496
11457;1.1526
11458;1.1555
11459;1.1581
11460;1.1604
11461;1.1624
11462;1.1639
11463;1.1649
11464;1.1654
11465;1.1654
11466;1.1648
11467;1.1638
11468;1.1622
11469;1.1602
11470;1.1578
11471;1.155
11472;1.1518
11473;1.1484
11474;1.1448
11475;1.141
11476;1.137
11477;1.133
11478;1.129
11479;1.125
11480;1.121
11481;1.117
11482;1.1131
11483;1.1093
11484;1.1057
11485;1.1022
11486;1.0988
11487;1.0956
11488;1.0926
11489;1.0899
11490;1.0874
11491;1.0852
11492;1.0833
11493;1.0817
11494;1.0805
11495;1.0796
11496;1.0792
11497;1.0792
11498;1.0796
11499;1.0805
11500;1.0818
11501;1.0837
11502;1.086
11503;1.0889
11504;1.0922
11505;1.0961
11506;1.1006
11507;1.1055
11508;1.111
11509;1.117
11510;1.1235
11511;1.1304
11512;1.1377
11513;1.1454
11514;1.1533
11515;1.1615
11516;1.1698
11517;1.1783
11518;1.1867
11519;1.1951
11520;1.2034
11521;1.2116
11522;1.2195
11523;1.2272
11524;1.2346
11525;1.2416
11526;1.2483
11527;1.2546
11528;1.2605
11529;1.2659
11530;1.2709
11531;1.2754
11532;1.2794
11533;1.2829
11534;1.2859
11535;1.2884
11536;1.2904
11537;1.2919
11538;1.2929
11539;1.2935
11540;1.2936
11541;1.2933
11542;1.2928
11543;1.2919
11544;1.2908
11545;1.2896
11546;1.2882
11547;1.2869
11548;1.2855
11549;1.2843
11550;1.2831
11551;1.282
11552;1.2811
